Name,DrugBank ID,DAT,SERT,NET,DAT-SERT,DAT-NET,selective,cluster id,source,source before replacement,doi (DAT),doi (SERT),doi (NET)
vanoxerine#,DB03701,10.22,7.62,7.10,2.60,3.12,DAT selective,D,ChEMBL,ChEMBL,10.1021/jm9505324,10.1016/j.bmc.2014.11.007,10.1021/jm020419v
RTI-55#,,9.32,9.42,8.85,-0.10,0.47,,A,ChEMBL,ChEMBL,10.1016/j.bmcl.2004.02.043,10.1021/jm0401311,10.1021/jm0100180
SRI-31142#,,8.72,,,,,DAT only,E,literature search,literature search,10.1124/jpet.114.222299,,
dasotraline,DB12305,8.70,7.85,8.40,0.85,0.30,,G,ChEMBL,ChEMBL,10.1021/acs.jmedchem.6b01827,10.1021/acs.jmedchem.6b01827,10.1021/acs.jmedchem.6b01827
MDPV#,,8.68,,,,,DAT only,C,ChEMBL,ChEMBL,10.1021/acs.jmedchem.7b00085,,
GBR-12935#,,8.43,6.21,6.20,2.22,2.23,DAT selective,D,ChEMBL,ChEMBL,10.1021/jm701270n,10.1021/jm701270n,10.1021/jm9902178
altropane,DB04947,8.18,6.74,,1.44,,,A,replacement list,literature search,10.1002/(SICI)1098-2396(199806)29:2<93::AID-SYN1>3.0.CO;2-5,10.1002/(SICI)1098-2396(199806)29:2<93::AID-SYN1>3.0.CO;2-5,10.1002/(SICI)1098-2396(199806)29:2<93::AID-SYN1>3.0.CO;2-5
dextroamphetamine,DB01576,8.18,8.32,8.21,-0.14,-0.03,,B,replacement list,,10.1016/j.bmcl.2013.03.066,10.1016/j.bmcl.2013.03.066,10.1016/j.bmcl.2013.03.066
nomifensine#,DB04821,8.15,6.10,8.42,2.05,-0.27,,G,ChEMBL,ChEMBL,10.1021/ml300262e,10.1021/ml300262e,10.1021/acs.jmedchem.6b01827
benztropine#,DB00245,8.10,5.29,5.86,2.81,2.24,DAT selective,D,ChEMBL,ChEMBL,10.1021/jm990472s,10.1021/jm0101592,
tesofensine,DB06156,8.10,7.96,8.49,0.14,-0.39,,A,ChEMBL,ChEMBL,10.1021/acs.jmedchem.6b01827,10.1021/acs.jmedchem.6b01827,10.1021/acs.jmedchem.6b01827
sydnocarb#,,8.08,5.00,5.82,3.08,2.26,DAT selective,B,replacement list,literature search,10.1124/jpet.111.178947,10.1124/jpet.111.178947,10.1124/jpet.111.178947
PAL-1046#,,8.00,,,,,DAT only,I,literature search,literature search,10.1124/jpet.111.188946,,
JHW-007#,,7.98,5.76,5.88,2.22,2.10,DAT selective,D,ChEMBL,ChEMBL,10.1021/acs.jmedchem.6b01373,10.1021/jm970525a,10.1021/jm970525a
PAL-287#,,7.90,8.47,7.96,-0.57,-0.06,,I,ChEMBL,ChEMBL,10.1039/C6MD00245E,10.1039/C6MD00245E,10.1016/j.bmcl.2014.07.062
RTI-82#,,7.85,,,,,DAT only,A,ChEMBL,ChEMBL,10.1016/j.bmc.2012.01.014,,
sertraline,DB01104,7.60,10.12,6.80,-2.52,0.80,SERT selective,G,ChEMBL,ChEMBL,10.1016/s0960-894x(98)00062-6,,10.1021/jm00391a028
ioflupane I-123,DB08824,7.54,,,,,DAT only,A,literature search,literature search,,,
MFZ 2-24#,,7.48,,,,,DAT only,A,ChEMBL,ChEMBL,10.1021/jm0101904,,
mazindol#,DB00579,7.35,6.61,9.10,0.74,-1.75,NET selective,J,replacement list,ChEMBL,10.1021/jm0309349 ,10.1021/jm0309349 ,10.1021/jm0309349 
PAL-1045#,,7.34,,,,,DAT only,I,literature search,literature search,10.1124/jpet.111.188946,,
PAL-738#,,7.24,,,,,DAT only,K,literature search,literature search,10.1124/jpet.111.188946,,
MRS7292#,,6.90,,,,,DAT only,L,literature search,literature search,10.1021/acs.jmedchem.7b00141,,
dexmethylphenidate,DB06701,6.79,8.00,6.69,-1.21,0.10,SERT selective,K,replacement list,,10.1097/FBP.0b013e3280143226,10.1097/FBP.0b013e3280143226,10.1097/FBP.0b013e3280143226
WIN 35428#,,6.77,7.52,5.96,-0.75,0.81,,A,replacement list,ChEMBL,10.1016/0024-3205(90)90132-B,10.1016/0024-3205(90)90132-B,10.1016/0024-3205(90)90132-B
methylphenidate#,DB00422,6.72,5.01,6.66,1.71,0.06,,K,replacement list,ChEMBL,10.1021/jm0608614,10.1021/jm0608614,10.1021/jm0608614
rimcazole#,,6.65,6.08,5.67,0.57,0.98,,J,replacement list,ChEMBL,10.1021/jm9902943,10.1021/jm9902943,10.1021/jm9902943
duloxetine,DB00476,6.62,9.10,8.13,-2.48,-1.51,,I,replacement list,ChEMBL,10.1016/j.bmcl.2004.04.066,10.1016/j.bmcl.2004.04.066,10.1016/j.bmcl.2004.04.066
troparil#,,6.59,6.64,6.59,-0.05,0.00,,A,replacement list,ChEMBL,10.1016/0024-3205(90)90132-B,10.1016/0024-3205(90)90132-B,10.1016/0024-3205(90)90132-B
nefazodone,DB01149,6.44,6.86,6.44,-0.42,0.00,,H,ChEMBL,ChEMBL,10.1016/s0960-894x(98)00062-6,10.1016/s0960-894x(98)00062-6,10.1016/s0960-894x(98)00062-6
