CHEMBL607109	7.51	1	CN1C2CCC1C(c1ccc(F)cc1)C(c1ccc(F)cc1)C2
CHEMBL607058	7.66	1	Fc1ccc(OCCN2C3CCC2C(c2ccc(F)cc2)C(c2ccc(F)cc2)C3)cc1
CHEMBL325330	7.31	1	Fc1ccc(C2CC3CCC(N3)C2c2ccc(F)cc2)cc1
CHEMBL607107	8.0	1	Fc1ccc(C2CC3CCC(C2c2ccc(F)cc2)N3CCc2ccccc2)cc1
CHEMBL607001	6.58	1	Fc1ccc(C2CC3CCC(C2c2ccc(F)cc2)N3Cc2ccccc2)cc1
CHEMBL607056	7.06	1	Fc1ccc(C2CC3CCC(C2c2ccc(F)cc2)N3CCCCc2ccccc2)cc1
CHEMBL607055	8.22	1	Cc1ccc(C2CC3CCC(C2c2ccccc2)N3C)cc1
CHEMBL607002	7.8	1	Fc1ccc(C2CC3CCC(C2c2ccc(F)cc2)N3CCCc2ccccc2)cc1
CHEMBL607057	9.02	1	Cc1ccc(C2CC3CCC(C2c2ccccc2)N3CCc2ccccc2)cc1
CHEMBL2113650	7.54	1	COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2CC=CI
CHEMBL611177	6.95	1	COC(=O)C1C(c2ccccc2)CC2CCC1N2CC=CI
CHEMBL611178	7.85	1	C#CCN1C2CCC1C(C(=O)OC)C(c1ccc(I)cc1)C2
CHEMBL2113649	7.38	1	COC(=O)C1C(c2ccc(I)cc2)CC2CCC1N2Cc1ccccc1
CHEMBL2113648	7.77	1	COC(=O)C1C(c2ccc(C)cc2)CC2CCC1N2CC=CI
CHEMBL611426	7.82	1	CC=CCN1C2CCC1C(C(=O)OC)C(c1ccc(I)cc1)C2
CHEMBL611179	6.3	1	CCCc1ccc(C2CC3CCC(C2C(=O)OC)N3CC=CI)cc1
CHEMBL611424	7.52	1	C=C(Br)CN1C2CCC1C(C(=O)OC)C(c1ccc(I)cc1)C2
CHEMBL611181	7.03	1	COC(=O)C1C(c2ccc(I)cc2)CC2CCC1N2Cc1ccccc1C
CHEMBL611180	7.52	1	COC(=O)C1C(c2ccc(I)cc2)CC2CCC1N2CC=CI
CHEMBL611427	6.3	1	COC(=O)C1C(c2ccc(C(C)C)cc2)CC2CCC1N2CC=CI
CHEMBL3084931	6.21	1	Fc1ccc(C(OC2CC3CCC(C2)N3CCCc2ccc(N=C=S)cc2)c2ccc(F)cc2)cc1
CHEMBL136566	7.48	1	COC(=O)C1C(c2ccc(Cl)cc2)CC2CCC1N2CCCCc1ccc(N=[N+]=[N-])c(I)c1
CHEMBL138156	7.84	1	CN1C2CCC1C(C(=O)OCCc1ccc(N=[N+]=[N-])c(I)c1)C(c1ccc(Cl)cc1)C2
CHEMBL3084930	6.55	1	[N-]=[N+]=Nc1ccc(CCCN2C3CCC2CC(OC(c2ccc(F)cc2)c2ccc(F)cc2)C3)cc1I
CHEMBL3084934	7.7	1	O=[N+]([O-])c1ccc(CCCCN2C3CCC2CC(OC(c2ccc(F)cc2)c2ccc(F)cc2)C3)cc1
CHEMBL3084929	7.53	1	Nc1ccc(CCCCN2C3CCC2CC(OC(c2ccc(F)cc2)c2ccc(F)cc2)C3)cc1
CHEMBL2079586	7.36	1	COC(=O)C1C(c2ccc(F)cc2)CC2CCC1N2C
CHEMBL3084932	6.8	1	[N-]=[N+]=Nc1ccc(CCCCN2C3CCC2CC(OC(c2ccc(F)cc2)c2ccc(F)cc2)C3)cc1I
CHEMBL2308105	8.07	1	Fc1ccc(C(OC2CC3CCC(C2)N3CCCCc2ccccc2)c2ccc(F)cc2)cc1
CHEMBL3084933	6.38	1	Fc1ccc(C(OC2CC3CCC(C2)N3CCCCc2ccc(N=C=S)cc2)c2ccc(F)cc2)cc1
CHEMBL138651	7.5	1	COC(=O)C1C(c2ccc(Cl)cc2)CC2CCC1N2CCCCc1ccc(N=C=S)cc1
CHEMBL305876	6.28	1	c1ccc(-c2nc(NC(c3ccccc3)c3ccccc3)c3ccccc3n2)cc1
